#{"t_start": 1683637621.2861035, "env_id": "TurtleBot3tentabot_drl-v00"}
r,l,t
39.153101,115,64.604639
38.915556,88,81.404052
38.202954,107,101.619099
39.275879,147,128.982481
-2.688414,65,141.96452
38.599704,95,159.908371
-1.152041,72,174.089893
39.226963,329,236.761561
40.041174,97,255.133406
38.971922,82,270.893442
0.822002,116,292.442548
38.996598,119,314.777552
-3.443917,101,333.853646
39.503836,159,363.206139
39.477509,96,381.472189
39.048925,98,399.879983
39.155226,114,421.070213
38.974191,116,443.518903
38.265177,83,459.514209
-0.304552,81,475.277638
39.405134,144,502.016238
-6.652977,41,510.555768
38.967985,190,544.948026
38.921805,101,563.969987
-2.779968,66,577.063256
38.902989,97,595.509409
39.092703,160,625.710379
-2.755162,65,638.737893
39.024041,196,674.343762
39.275458,114,695.711196
38.884786,151,723.629795
38.494067,227,764.128756
39.080337,117,785.846467
38.56662,100,805.844749
39.165317,99,824.590993
38.432755,156,853.002177
-4.903679,88,869.650672
-5.875806,34,877.317187
-2.696278,59,889.314169
37.976716,126,912.817237
38.77402,109,933.545286
-4.08913,68,947.16827
39.596862,117,968.891456
39.108421,91,985.978315
39.230653,103,1006.113676
-3.154854,54,1017.32868
39.399507,114,1038.653258
-3.072371,62,1051.202483
39.286644,151,1078.914001
39.319155,125,1102.179895
38.539312,106,1122.326944
38.830935,110,1143.024324
-4.619578,47,1152.634223
38.533101,121,1175.307263
39.299086,109,1196.718393
39.040744,159,1226.199172
39.586155,122,1248.993915
38.954305,86,1265.316481
39.168554,135,1290.533649
-3.842184,62,1302.750274
39.555368,129,1326.972902
-4.709175,59,1338.705448
39.057933,93,1356.595927
39.821835,124,1380.32038
38.176012,121,1402.773841
38.564348,80,1418.079472
-4.474693,51,1428.280143
38.921775,129,1452.067682
38.522953,111,1473.069964
39.901872,111,1493.645284
39.220322,81,1508.888928
-4.894651,75,1523.20681
38.515224,107,1543.281919
39.074143,85,1560.609759
-4.890379,59,1572.309869
38.590736,137,1597.493422
-2.535256,61,1609.775857
38.838803,131,1634.06799
39.376592,159,1663.290109
-3.764033,64,1675.765858
38.214374,99,1694.298609
-3.779416,60,1706.220912
38.845985,110,1726.852669
38.676448,138,1753.295736
-1.887776,57,1764.7897
39.531713,158,1793.740899
-5.853275,56,1804.813087
39.081635,151,1833.147177
39.051224,100,1852.331007
38.877619,106,1872.344064
38.991776,101,1891.599977
38.928022,120,1913.896714
39.495381,265,1962.329586
38.788383,83,1978.508193
38.640942,150,2006.152561
38.607809,124,2029.304112
-6.581521,36,2036.946481
-5.604551,75,2051.310861
38.518128,123,2073.791688
39.024195,126,2097.279545
40.059062,142,2124.092321
-3.45154,71,2138.01342
39.049981,93,2156.076843
38.613411,96,2174.071879
-7.208811,15,2177.966778
39.185328,82,2193.613374
38.902238,122,2216.115163
38.78674,116,2237.840099
0.506031,142,2263.972967
38.836106,139,2289.48017
39.075477,90,2306.688918
-4.211005,110,2328.088179
39.291219,93,2345.654608
38.769094,210,2383.385728
38.438149,90,2400.462737
-3.813009,67,2413.562985
39.236157,126,2436.826321
38.879628,121,2459.448446
38.847537,111,2480.271527
38.610902,98,2499.492914
38.897134,107,2519.756886
39.28963,112,2540.52395
39.56711,183,2573.71099
39.565097,135,2598.707629
39.639922,114,2620.09059
39.169779,144,2646.666828
-3.706696,66,2659.638559
0.643482,129,2683.090281
39.49675,136,2709.261871
-3.823689,89,2726.294744
-1.549379,94,2743.90995
-3.818759,47,2753.831881
38.679245,98,2772.506469
-4.190343,95,2790.287191
39.867447,100,2809.118086
39.455527,147,2835.881186
39.5672,102,2855.259888
-4.009141,46,2864.708697
39.06407,132,2889.876663
39.598653,109,2910.396171
38.489888,90,2927.719434
39.257992,131,2952.084267
-2.889113,75,2966.781874
39.305893,134,2991.602927
39.388845,196,3027.295502
39.675537,89,3044.42787
-1.304721,106,3065.457879
39.50743,123,3088.313866
39.069015,146,3114.826869
39.5419,117,3136.286627
39.520709,97,3154.60977
39.444321,113,3175.92961
38.343965,157,3204.857892
39.657945,146,3231.986263
39.070185,139,3258.699389
38.71833,103,3277.952424
38.633126,86,3294.483979
38.900122,152,3322.275357
0.416236,91,3339.410576
38.626136,97,3357.761887
39.317847,185,3391.403046
38.70831,107,3411.27848
-6.158172,47,3420.911073
38.252492,171,3452.552691
0.374266,130,3476.527675
-7.302723,23,3481.833729
39.097107,192,3516.94988
-5.469283,75,3531.425616
38.271159,83,3547.502351
38.445574,116,3569.16157
-3.208279,69,3582.641226
1.54627,129,3606.290465
39.273004,103,3626.747885
39.806078,97,3644.92988
38.943229,99,3663.659836
38.240772,128,3687.581456
38.828644,138,3713.170552
39.593043,127,3736.750892
-5.931961,52,3747.167676
-2.577229,85,3763.192476
39.419663,112,3784.302783
-3.002563,54,3795.262717
38.806456,121,3818.54245
38.954477,116,3839.996905
-2.179422,83,3856.098709
38.741772,113,3877.391824
39.31143,165,3907.408763
38.630356,82,3923.387861
39.602768,160,3952.98044
39.386925,132,3977.214189
-2.631751,77,3992.4905
39.268098,115,4014.849277
39.005428,132,4039.093663
39.278659,99,4057.893353
38.245763,135,4082.693004
39.655741,101,4101.890088
39.486902,139,4127.1128
39.130042,118,4148.996848
-4.549259,50,4159.184085
39.687629,145,4185.798452
39.259858,133,4211.307643
39.497143,84,4227.293468
38.55015,94,4245.125304
-3.031967,78,4260.393909
39.815834,119,4282.5718
39.437876,163,4312.903485
39.032243,98,4331.554255
39.034488,91,4348.871806
-2.746808,68,4362.26457
39.273196,125,4386.135495
39.095392,107,4406.292033
38.707722,135,4431.604602
-3.970042,60,4443.909999
39.678441,175,4475.932169
-5.976839,40,4484.605317
38.952058,120,4506.940069
39.030434,95,4524.780274
39.098044,82,4540.462333
38.502357,101,4559.458958
38.548096,188,4594.777042
38.5725,101,4614.013247
39.95703,107,4633.964134
38.921152,83,4649.73532
38.98015,152,4677.824139
39.412107,116,4699.504491
39.623916,226,4740.190285
38.396507,147,4768.335101
-3.254587,44,4777.768811
38.671303,122,4800.477461
-2.548563,66,4813.391436
39.909023,116,4835.301193
-5.109001,72,4849.342103
38.977277,116,4870.920735
38.991661,97,4889.285832
-5.587233,35,4896.664536
38.812792,158,4925.763366
39.209788,200,4963.072722
39.503425,105,4982.853371
39.185783,126,5006.153209
39.112813,101,5024.9688
39.548043,119,5047.214158
-3.862877,48,5057.139358
38.668662,109,5077.605768
39.33878,146,5104.700682
39.424885,94,5122.40931
39.569658,143,5149.440999
40.011363,104,5168.853617
-3.323304,63,5181.455486
39.388223,98,5200.193886
-4.213746,58,5211.877535
39.287462,108,5232.162726
-3.612185,51,5242.830994
38.944422,99,5261.81126
38.370971,131,5286.063183
38.775928,82,5301.637921
-5.085836,51,5312.185826
-7.381308,34,5319.581912
38.951238,195,5355.979988
-3.221838,59,5367.813267
39.060372,126,5391.436068
38.967244,191,5426.298027
39.104148,109,5446.509506
-3.235321,62,5458.6505
35.474698,104,5477.937012
-3.136786,46,5487.557861
39.212672,143,5513.985018
38.791601,135,5539.864347
38.26922,150,5567.582135
39.067307,101,5586.586646
39.212962,127,5610.351889
-3.206681,56,5621.739093
-4.390049,51,5632.071114
-5.857046,26,5637.981039
39.14562,99,5656.682431
38.727402,97,5674.806242
-4.817622,54,5685.763068
-7.810615,22,5690.843267
38.074271,137,5716.796654
38.831987,136,5741.943313
38.82188,130,5766.073829
39.729592,110,5786.637899
39.277701,181,5819.510984
39.958926,131,5843.795864
39.647485,125,5867.02298
38.921649,120,5889.581973
39.378035,188,5924.396279
38.795912,166,5954.722433
-12.134096,30,5961.380481
39.637965,104,5980.802455
39.536083,99,5999.44576
39.027086,92,6016.814362
-3.930814,53,6027.426069
39.47296,192,6062.236074
-7.108601,67,6075.249324
-3.934434,94,6093.813858
-5.814103,24,6099.419034
38.941335,116,6120.874281
-0.388485,132,6145.111053
39.714897,120,6167.420282
-4.751897,106,6187.412728
39.114345,110,6207.826446
38.518864,102,6226.867053
39.06755,98,6245.277649
39.188521,105,6265.151752
38.979807,168,6296.847262
38.528236,144,6323.189444
39.257748,125,6346.41384
39.273125,97,6364.689446
-6.220278,49,6374.799065
-0.781017,74,6389.283326
39.07174,130,6413.57585
39.454883,103,6432.73346
39.060944,88,6449.56219
39.241449,166,6480.831409
39.188097,113,6502.142604
-3.969864,87,6518.852337
-6.139511,39,6527.027138
39.48957,102,6546.560867
39.212387,97,6564.963887
-2.718736,74,6579.544622
38.885752,94,6597.535418
-4.972667,43,6606.324583
39.380699,188,6640.797849
-3.776838,55,6652.85955
39.469515,164,6682.962445
-0.124512,154,6711.49384
39.391053,133,6736.530168
0.485679,108,6757.174111
-3.4478,52,6767.950075
39.328382,98,6786.711369
38.408845,81,6802.469392
38.590836,96,6820.837613
-2.212286,50,6831.088983
38.503833,95,6850.034775
39.174032,154,6878.581443
38.945311,138,6904.428963
38.497552,92,6921.865041
-3.083735,44,6931.0787
-6.004531,34,6938.531945
39.2212,120,6960.800578
38.81017,96,6979.126428
-6.498076,27,6985.342815
38.299984,121,7008.022226
39.035755,82,7023.775188
-5.347047,32,7031.119059
-7.329223,39,7040.161934
38.984141,116,7061.979536
-3.965611,56,7073.239929
38.246129,121,7095.90559
38.489034,82,7111.767287
38.64054,163,7141.732245
39.679487,100,7160.411181
-5.710735,46,7169.666346
39.127396,115,7190.970673
38.310606,77,7205.5487
-4.589089,43,7214.656241
38.92417,128,7239.018416
-2.360256,55,7250.280273
0.517004,128,7274.421158
-3.837048,44,7283.555718
39.411193,136,7308.822909
-3.63717,50,7319.0699
38.74353,96,7337.30854
-3.398016,43,7346.448425
38.830737,103,7366.070725
38.847405,177,7398.869262
-5.7593,106,7419.612459
39.442451,163,7449.160429
39.28914,150,7476.865778
39.377713,111,7497.654227
39.911788,195,7533.249947
39.11174,174,7565.011832
39.620686,128,7588.902904
-2.913396,78,7604.926985
39.086674,92,7622.52913
38.208255,107,7642.905475
-3.562914,52,7653.364364
39.350399,170,7684.375199
38.919164,152,7712.20832
38.346763,218,7751.257875
38.967337,157,7780.071494
38.924982,123,7803.70452
38.144748,221,7843.338755
38.608989,208,7881.022012
38.523409,112,7901.924985
-4.268824,42,7910.679229
39.407372,136,7935.654105
0.228863,193,7970.635541
38.403149,98,7990.29531
-3.511676,50,8000.365761
39.293467,166,8030.936657
-6.43083,36,8038.569912
39.693931,122,8061.511677
-4.336814,78,8076.681432
0.352097,124,8099.597625
-5.841687,41,8108.352192
39.070497,110,8129.068144
39.061792,115,8150.616997
38.267014,163,8181.615335
-3.145143,70,8195.089831
38.785975,112,8215.975263
38.716091,125,8238.879739
39.693074,114,8260.445233
39.228415,119,8282.703425
38.306974,104,8302.258459
38.871722,181,8335.032028
38.158049,221,8376.018108
38.786216,119,8397.910339
39.595672,163,8427.466165
-3.996851,61,8439.641269
38.251546,78,8454.551355
-6.01232,46,8463.934341
-3.625739,55,8474.835066
39.516074,106,8494.817866
39.55085,211,8533.042363
38.055609,99,8553.008825
39.450549,154,8581.093992
-3.102982,73,8595.601928
39.444157,142,8621.783665
39.305501,116,8643.38191
39.038466,191,8678.439036
38.818328,152,8706.081862
38.780513,126,8730.468395
-3.786484,75,8745.063166
-7.05773,63,8757.448106
39.262378,131,8781.985839
39.599318,176,8814.122437
38.51857,110,8834.851121
-2.822546,78,8849.883376
39.606853,130,8873.723972
39.587732,147,8900.692695
38.725418,77,8916.41837
39.117254,88,8933.068131
39.359705,137,8958.342113
39.614918,106,8978.173817
39.407117,154,9006.449876
39.376032,159,9035.216314
-2.768379,92,9052.795904
38.976596,143,9078.787435
39.199658,140,9105.470505
38.710392,169,9136.455991
-4.69015,78,9151.512612
39.662672,182,9184.376636
39.270678,112,9205.497048
39.62957,320,9263.535055
38.94751,135,9289.12473
38.964334,132,9313.439768
39.657931,141,9339.680471
39.714132,156,9368.36057
38.669429,198,9403.92859
39.308226,118,9425.870718
39.575284,123,9448.905994
38.813448,138,9475.109556
-4.654893,64,9487.809678
39.173002,156,9516.072899
39.704891,110,9536.769868
39.119299,92,9554.357941
39.305326,120,9576.62493
39.064203,173,9607.660657
-7.693186,30,9614.568528
38.696499,119,9636.749096
38.443483,144,9664.315387
38.551547,170,9695.237577
38.863608,109,9715.446583
39.187185,168,9746.021876
39.778799,166,9776.673769
-3.987946,44,9785.892332
0.151922,90,9803.253365
-8.614326,27,9809.124813
-4.050119,34,9816.470438
38.803474,108,9836.77918
-2.828853,67,9850.97821
-6.697231,41,9859.378753
39.266489,102,9878.539598
38.529157,125,9902.199465
38.103843,105,9922.253845
38.701904,111,9942.854464
38.598913,91,9960.232614
-2.166332,63,9972.558275
-1.447784,119,9994.773339
38.38681,187,10028.948582
-5.082417,75,10044.165936
39.667973,84,10060.25245
38.939775,167,10090.729691
38.989073,103,10110.251316
-4.949915,31,10117.115814
39.228986,205,10154.584466
-1.018114,101,10173.959679
39.289427,135,10198.985238
-4.43613,109,10219.924267
38.512411,114,10241.933937
39.820585,152,10269.814389
38.651107,125,10293.347398
-0.527505,110,10313.758146
39.657473,122,10336.486806
-4.725853,49,10346.324269
-7.256256,34,10353.525435
39.181585,104,10373.363133
39.21366,108,10393.558083
38.683729,156,10423.106298
-3.275836,50,10433.458147
38.286621,101,10452.51603
-5.443233,114,10473.776094
-3.328869,59,10485.53347
-5.390008,94,10503.342718
39.253161,105,10522.813953
39.207943,135,10547.542336
38.40387,126,10570.653166
-5.06094,44,10579.702094
-4.494816,57,10591.209499
38.795543,129,10616.141774
39.549035,120,10638.488187
38.161716,144,10665.241109
0.668435,192,10699.792325
0.39386,243,10743.630231
-1.852898,109,10764.237882
-6.097019,81,10779.577001
38.238066,95,10798.509951
37.916302,163,10828.12643
39.163606,125,10851.221374
38.778835,141,10877.294403
38.628062,77,10891.959301
38.6278,109,10912.189468
39.457002,159,10941.22295
-5.064802,29,10947.558167
-3.919825,39,10955.811547
39.781255,182,10989.521801
38.393963,117,11011.24966
-5.575454,54,11022.250522
38.735138,77,11037.009289
38.78428,127,11060.377255
39.754645,92,11077.901637
38.955694,134,11102.661282
39.260536,162,11132.404975
39.495534,148,11159.524672
-3.840195,53,11171.114678
38.26772,100,11189.912057
39.286857,144,11216.452153
39.074106,137,11241.898099
39.717472,94,11260.001126
-4.243948,44,11269.498168
38.243708,68,11282.882017
39.196589,154,11311.167664
-5.622914,38,11319.173647
38.635966,164,11349.398247
-0.74639,136,11375.628714
38.904876,121,11398.740694
-3.067525,78,11414.299448
-3.380412,67,11427.305919
39.85646,93,11444.708144
40.09829,181,11477.829851
38.356666,77,11492.696457
-4.567758,55,11503.620981
39.619335,147,11530.574607
-2.993098,66,11544.506636
-0.086836,87,11561.107454
38.447269,81,11576.712257
39.236842,92,11593.945339
-4.274843,47,11603.458032
39.052773,223,11643.546557
38.784485,98,11662.012566
39.51404,122,11684.565874
-4.393601,121,11706.87481
38.37429,89,11724.018394
-5.474652,41,11733.391207
39.192113,99,11752.002486
38.796293,103,11771.372702
38.813022,211,11809.409655
-0.576053,143,11835.87035
39.115054,176,11867.905651
39.225135,169,11898.531916
39.77317,149,11926.667175
39.210326,140,11952.851017
39.260597,148,11979.826454
38.606379,81,11995.178764
39.119369,150,12023.06208
-6.42577,78,12037.687933
38.648964,236,12080.310934
-4.032329,49,12090.345192
-0.428288,101,12110.472724
-3.763324,50,12120.649633
39.164845,133,12145.28485
-4.484191,79,12160.441885
39.078317,99,12179.187335
39.747689,139,12205.076563
38.961045,115,12226.584358
-0.379099,112,12247.554697
39.324211,128,12271.061055
39.391043,129,12295.979152
38.426987,113,12316.869756
-2.616556,112,12338.131608
39.468211,174,12369.680813
-6.354711,30,12376.292534
38.58983,89,12393.24162
0.315304,157,12421.68253
38.97547,239,12464.6154
39.550227,160,12494.65572
39.436496,219,12533.903173
39.527524,92,12551.527763
39.186696,148,12578.69472
-3.010744,105,12598.822047
39.635052,147,12625.625395
39.337807,100,12644.401864
-6.241027,32,12651.372641
38.772983,87,12668.823763
39.318029,116,12690.385312
39.160587,185,12723.811904
39.174328,97,12742.199237
38.356208,126,12765.541569
38.944248,95,12783.384252
38.3059,85,12799.586764
39.412568,213,12838.532271
38.629237,101,12858.542535
-3.585038,43,12867.350486
-5.295892,156,12896.244635
38.517005,110,12916.866424
0.074184,98,12935.307333
38.548138,98,12953.821838
-3.928428,59,12965.612824
35.003533,96,12983.806216
0.500004,202,13020.568627
38.57507,104,13041.065979
-1.97869,73,13055.187018
38.69588,120,13077.439908
39.344026,176,13109.852694
-4.500138,103,13129.160357
38.653886,129,13152.829952
39.067679,101,13171.904568
-5.29415,55,13183.039154
39.484737,135,13208.032222
38.969624,124,13232.074252
-0.364268,148,13259.213641
-6.097539,95,13276.865933
-3.893406,69,13290.391928
38.801265,182,13323.406859
-4.747367,58,13334.946566
39.118149,148,13362.144414
38.815838,92,13379.507953
38.665022,130,13403.73725
33.67564,133,13428.997747
-1.241208,81,13444.523191
39.266746,107,13464.424267
38.69737,224,13504.910822
39.00553,158,13534.171179
38.255236,124,13557.134421
-5.468717,39,13565.315443
38.939622,155,13593.949813
38.513357,131,13619.148816
39.391421,107,13639.582188
38.785007,100,13658.714477
39.299054,220,13698.102102
39.507185,95,13716.334069
-3.866805,160,13745.785845
-3.631338,87,13762.590055
38.735475,90,13779.833989
0.210206,153,13808.600651
38.635608,183,13841.985574
38.524335,157,13870.760858
38.337634,128,13894.462762
38.864628,99,13913.098789
39.039934,116,13934.893706
38.966439,119,13957.22829
-4.726134,109,13978.707917
-1.011752,97,13997.344475
-5.068167,66,14010.081621
-0.262169,141,14035.929649
-8.006458,2,14037.629955
38.915559,110,14058.23326
-5.642992,81,14073.566184
39.472084,111,14094.388357
39.613172,164,14124.483976
39.118358,112,14145.494143
39.887301,232,14188.086886
39.24981,89,14205.168013
39.178298,138,14230.36772
39.477699,112,14251.230844
-5.549045,35,14258.63665
39.676572,138,14284.043105
38.983533,77,14298.799857
-3.656947,50,14308.929877
39.190188,119,14330.916772
-5.313864,99,14350.171927
-0.255587,79,14365.274879
-3.794027,49,14375.343962
39.390769,95,14393.327226
38.72197,135,14418.740033
39.517309,111,14439.310985
39.492641,126,14462.460567
39.554774,113,14483.578311
39.641587,153,14511.743515
-3.365887,55,14522.723329
38.978018,152,14551.536889
39.174665,106,14571.40973
39.574553,111,14592.138647
39.223571,181,14625.083906
38.614855,106,14644.939911
39.400432,117,14666.853909
38.169223,137,14691.989714
38.744939,127,14715.529143
-0.515257,85,14732.862529
38.985526,145,14759.441917
39.392223,121,14782.025631
39.734737,105,14801.609941
39.579861,103,14820.865193
39.46095,151,14848.798005
-0.277708,95,14866.948202
39.300264,134,14891.750926
38.582384,132,14917.159199
38.808232,104,14936.410516
39.167695,170,14967.490553
-4.237201,107,14987.882279
36.234449,99,15006.654374
-4.167835,55,15018.012976
38.950244,110,15038.642893
-2.629435,108,15058.920525
38.609887,89,15076.19724
39.430244,179,15109.914884
39.129726,136,15135.083688
39.226171,129,15159.091777
-3.861153,67,15172.265991
38.641436,118,15194.237451
-3.941675,46,15203.844178
39.634291,96,15221.788641
-3.602147,57,15233.205651
39.034608,115,15254.527422
-5.79678,98,15273.085389
38.814865,117,15295.961828
39.084939,118,15318.037817
-3.038714,55,15329.141057
38.379864,99,15347.652642
-3.707093,65,15360.708017
39.75108,297,15413.539069
38.747489,148,15440.930749
38.956628,132,15465.74699
38.903626,164,15497.010719
40.164425,251,15542.046438
38.98823,138,15567.495585
39.007778,191,15601.962392
38.641894,144,15628.764012
39.049204,157,15657.994671
38.369988,89,15675.661815
-4.559216,40,15684.273551
-3.360928,46,15693.638189
-5.635052,47,15703.077089
38.381893,72,15717.154639
38.686641,165,15747.34301
40.20094,203,15784.196053
39.304345,230,15825.594963
39.876723,93,15843.190784
38.735556,95,15862.02562
39.365314,102,15881.142725
38.434046,130,15905.188235
38.43489,104,15925.142928
-3.631036,68,15938.648764
38.718952,116,15960.730591
39.018323,125,15984.060462
38.491502,117,16006.021327
39.045797,111,16026.440321
38.251405,97,16045.359007
38.816629,178,16077.645889
38.951094,120,16099.979404
-1.015614,73,16113.946013
39.620749,129,16137.926926
-5.626646,33,16145.083026
40.548639,242,16188.482683
38.599923,135,16213.429562
38.741127,112,16235.077551
-3.974255,54,16246.185271
39.058169,117,16268.062088
39.124532,156,16296.687357
39.751517,164,16326.866214
-4.561527,102,16346.274181
39.414372,103,16365.786622
-2.451885,160,16395.463898
39.347966,97,16414.833877
38.752412,127,16438.501329
39.440052,99,16457.256951
38.147976,114,16478.704246
38.799874,169,16509.68132
-5.461901,97,16527.783495
39.44425,87,16544.389065
39.248418,144,16570.795568
39.529578,166,16602.136419
-3.209515,64,16614.841956
38.961194,150,16642.494611
39.274015,122,16665.456955
38.833982,112,16686.291676
32.750251,154,16714.586956
39.099106,102,16733.932772
0.086011,102,16753.10348
38.564102,156,16781.892605
-3.670913,64,16795.423172
39.812843,117,16817.259241
39.490874,202,16853.598425
39.213859,99,16872.656838
39.027565,180,16905.625664
39.423565,153,16933.846409
0.184373,155,16962.16116
0.63344,109,16983.268178
38.755082,115,17004.854742
39.337444,128,17028.756641
-3.944333,60,17040.711394
39.677984,128,17064.402446
39.503998,127,17087.9078
38.877688,79,17102.998486
39.658712,118,17125.006554
39.904733,127,17148.358619
-3.057225,75,17163.955565
38.839329,111,17184.631135
-6.178191,96,17202.601885
39.182535,91,17220.196357
38.939404,95,17238.255058
-0.924148,123,17261.042962
39.061246,94,17278.754923
-5.179353,86,17295.03361
39.052307,95,17312.968491
39.777531,122,17335.719972
39.051626,106,17356.308835
39.395896,110,17376.757392
38.945327,118,17398.73111
-5.045078,95,17416.69049
-3.89729,125,17439.802414
39.500077,120,17462.093335
39.726063,169,17493.284835
40.024911,129,17517.079229
38.538591,159,17547.251177
38.534282,89,17564.378899
38.327079,124,17587.179501
38.285516,101,17606.101793
-4.674339,38,17614.088753
39.82394,162,17643.795547
39.223721,236,17685.944831
39.755437,100,17704.680953
-4.563479,47,17714.162621
39.130682,121,17737.559756
-3.541495,67,17751.079605
39.901952,107,17771.143138
39.252314,95,17789.263933
-4.654442,44,17798.462996
39.233874,117,17820.472586
38.976645,86,17836.870596
38.423718,105,17856.750155
38.955908,155,17885.265925
38.899209,92,17902.964408
39.714231,96,17922.244821
-4.544684,47,17931.969508
38.276803,122,17954.715294
-4.072479,58,17966.075485
38.506181,111,17986.773998
-2.795623,87,18003.438314
38.37022,77,18018.452656
-4.783151,37,18026.381931
39.42285,118,18048.276908
39.197203,138,18073.83388
39.34264,174,18106.257736
-6.070542,103,18125.312857
39.036563,87,18142.087308
38.920283,106,18162.156821
-2.614675,65,18175.153833
38.675203,90,18192.230517
39.462069,82,18207.969
38.223815,135,18232.936832
39.57726,108,18253.299211
-4.546737,41,18261.808517
-3.473526,64,18274.237148
38.865328,144,18301.855901
0.244443,104,18321.464279
38.803664,118,18343.225725
39.929036,257,18389.28982
-4.224251,53,18400.134156
38.853881,103,18419.348686
39.258074,119,18441.737769
39.512306,179,18474.550953
-2.679859,73,18489.966276
39.513007,102,18509.218031
38.564819,111,18529.890157
38.766241,109,18550.412372
39.123403,114,18571.948218
39.501671,229,18613.342345
38.600939,157,18642.157131
39.608869,123,18664.79616
38.202933,82,18681.57245
39.417272,137,18706.65848
38.755897,118,18728.624158
39.333428,94,18746.365082
38.921989,106,18765.993446
-6.325535,44,18775.052015
38.794492,117,18796.804021
-5.630059,102,18815.987527
-0.396976,82,18831.703264
