0.000100 0.000000 0.000000,0.002200 0.000000 0.000000,0.004300 0.000000 0.000000,0.006400 0.000000 0.000000,0.008500 0.000000 0.000000,0.010600 0.000000 0.000000,0.012700 0.000000 0.000000,0.014800 0.000000 0.000000,0.016900 0.000000 0.000000,0.019000 0.000000 0.000000,0.021100 0.000000 0.000000,0.023200 0.000000 0.000000,0.025300 0.000000 0.000000,0.027400 0.000000 0.000000,0.029500 0.000000 0.000000,0.031600 0.000000 0.000000,0.033700 0.000000 0.000000,0.035800 0.000000 0.000000,0.037900 0.000000 0.000000,0.040000 0.000000 0.000000,0.042100 0.000000 0.000000,0.044200 0.000000 0.000000,0.046300 0.000000 0.000000,0.048400 0.000000 0.000000,0.050500 0.000000 0.000000,0.052600 0.000000 0.000000,0.054700 0.000000 0.000000,0.056800 0.000000 0.000000,0.058900 0.000000 0.000000,0.060100 0.000000 0.000000,
0.000100 0.000000 0.000000,0.002198 0.000072 0.000000,0.004289 0.000270 0.000000,0.006364 0.000593 0.000000,0.008415 0.001039 0.000000,0.010436 0.001608 0.000000,0.012420 0.002297 0.000000,0.014358 0.003103 0.000000,0.016245 0.004025 0.000000,0.018073 0.005058 0.000000,0.019836 0.006198 0.000000,0.021527 0.007442 0.000000,0.023141 0.008786 0.000000,0.024671 0.010224 0.000000,0.026112 0.011751 0.000000,0.027459 0.013361 0.000000,0.028707 0.015050 0.000000,0.029852 0.016810 0.000000,0.030889 0.018636 0.000000,0.031815 0.020521 0.000000,0.032625 0.022457 0.000000,0.033319 0.024439 0.000000,0.033892 0.026459 0.000000,0.034343 0.028510 0.000000,0.034670 0.030584 0.000000,0.034873 0.032674 0.000000,0.034949 0.034772 0.000000,0.034900 0.036871 0.000000,0.034725 0.038964 0.000000,0.034569 0.040153 0.000000,
0.000100 0.000001 0.000000,0.002194 0.000144 0.000000,0.004255 0.000538 0.000000,0.006255 0.001175 0.000000,0.008164 0.002047 0.000000,0.009955 0.003142 0.000000,0.011602 0.004443 0.000000,0.013081 0.005931 0.000000,0.014371 0.007587 0.000000,0.015454 0.009384 0.000000,0.016314 0.011299 0.000000,0.016939 0.013302 0.000000,0.017319 0.015366 0.000000,0.017450 0.017461 0.000000,0.017329 0.019556 0.000000,0.016958 0.021622 0.000000,0.016342 0.023628 0.000000,0.015490 0.025547 0.000000,0.014415 0.027349 0.000000,0.013132 0.029010 0.000000,0.011660 0.030505 0.000000,0.010018 0.031813 0.000000,0.008233 0.032916 0.000000,0.006328 0.033797 0.000000,0.004331 0.034443 0.000000,0.002271 0.034845 0.000000,0.000178 0.034998 0.000000,-0.001919 0.034900 0.000000,-0.003988 0.034551 0.000000,-0.005147 0.034241 0.000000,
0.000100 0.000001 0.000000,0.002186 0.000216 0.000000,0.004200 0.000802 0.000000,0.006076 0.001738 0.000000,0.007755 0.002995 0.000000,0.009181 0.004533 0.000000,0.010309 0.006300 0.000000,0.011103 0.008242 0.000000,0.011536 0.010294 0.000000,0.011594 0.012390 0.000000,0.011277 0.014463 0.000000,0.010593 0.016446 0.000000,0.009565 0.018274 0.000000,0.008227 0.019889 0.000000,0.006621 0.021238 0.000000,0.004800 0.022277 0.000000,0.002822 0.022974 0.000000,0.000751 0.023306 0.000000,-0.001345 0.023261 0.000000,-0.003400 0.022842 0.000000,-0.005347 0.022062 0.000000,-0.007122 0.020945 0.000000,-0.008669 0.019529 0.000000,-0.009938 0.017859 0.000000,-0.010886 0.015989 0.000000,-0.011485 0.013979 0.000000,-0.011714 0.011894 0.000000,-0.011567 0.009802 0.000000,-0.011047 0.007771 0.000000,-0.010589 0.006662 0.000000,
0.000100 0.000001 0.000000,0.002175 0.000288 0.000000,0.004123 0.001059 0.000000,0.005832 0.002271 0.000000,0.007203 0.003855 0.000000,0.008159 0.005720 0.000000,0.008644 0.007758 0.000000,0.008630 0.009853 0.000000,0.008119 0.011884 0.000000,0.007140 0.013736 0.000000,0.005749 0.015303 0.000000,0.004025 0.016493 0.000000,0.002068 0.017240 0.000000,-0.000011 0.017500 0.000000,-0.002092 0.017258 0.000000,-0.004056 0.016529 0.000000,-0.005790 0.015354 0.000000,-0.007196 0.013800 0.000000,-0.008191 0.011957 0.000000,-0.008720 0.009930 0.000000,-0.008752 0.007835 0.000000,-0.008285 0.005793 0.000000,-0.007346 0.003920 0.000000,-0.005989 0.002324 0.000000,-0.004291 0.001097 0.000000,-0.002351 0.000308 0.000000,-0.000278 0.000003 0.000000,0.001808 0.000199 0.000000,0.003787 0.000886 0.000000,0.004826 0.001484 0.000000,
0.000100 0.000001 0.000000,0.002161 0.000358 0.000000,0.004025 0.001308 0.000000,0.005525 0.002767 0.000000,0.006527 0.004604 0.000000,0.006942 0.006654 0.000000,0.006731 0.008736 0.000000,0.005915 0.010662 0.000000,0.004567 0.012262 0.000000,0.002805 0.013391 0.000000,0.000789 0.013949 0.000000,-0.001302 0.013887 0.000000,-0.003281 0.013209 0.000000,-0.004972 0.011977 0.000000,-0.006223 0.010300 0.000000,-0.006923 0.008329 0.000000,-0.007008 0.006238 0.000000,-0.006473 0.004216 0.000000,-0.005363 0.002442 0.000000,-0.003779 0.001076 0.000000,-0.001861 0.000238 0.000000,0.000218 0.000005 0.000000,0.002273 0.000396 0.000000,0.004121 0.001378 0.000000,0.005596 0.002861 0.000000,0.006567 0.004715 0.000000,0.006946 0.006772 0.000000,0.006701 0.008850 0.000000,0.005853 0.010762 0.000000,0.005125 0.011714 0.000000,
0.000100 0.000002 0.000000,0.002145 0.000428 0.000000,0.003908 0.001548 0.000000,0.005164 0.003217 0.000000,0.005751 0.005221 0.000000,0.005595 0.007304 0.000000,0.004715 0.009198 0.000000,0.003224 0.010661 0.000000,0.001313 0.011505 0.000000,-0.000772 0.011622 0.000000,-0.002765 0.010996 0.000000,-0.004410 0.009709 0.000000,-0.005496 0.007925 0.000000,-0.005883 0.005872 0.000000,-0.005523 0.003815 0.000000,-0.004461 0.002016 0.000000,-0.002834 0.000707 0.000000,-0.000849 0.000055 0.000000,0.001237 0.000144 0.000000,0.003159 0.000962 0.000000,0.004669 0.002405 0.000000,0.005575 0.004287 0.000000,0.005759 0.006368 0.000000,0.005198 0.008380 0.000000,0.003965 0.010065 0.000000,0.002217 0.011208 0.000000,0.000178 0.011662 0.000000,-0.001890 0.011369 0.000000,-0.003722 0.010366 0.000000,-0.004571 0.009520 0.000000,
0.000100 0.000002 0.000000,0.002125 0.000498 0.000000,0.003772 0.001776 0.000000,0.004754 0.003614 0.000000,0.004902 0.005694 0.000000,0.004188 0.007652 0.000000,0.002738 0.009150 0.000000,0.000804 0.009926 0.000000,-0.001279 0.009846 0.000000,-0.003149 0.008924 0.000000,-0.004480 0.007319 0.000000,-0.005040 0.005312 0.000000,-0.004734 0.003250 0.000000,-0.003613 0.001492 0.000000,-0.001873 0.000344 0.000000,0.000184 0.000005 0.000000,0.002200 0.000535 0.000000,0.003825 0.001840 0.000000,0.004777 0.003695 0.000000,0.004889 0.005777 0.000000,0.004143 0.007723 0.000000,0.002668 0.009196 0.000000,0.000721 0.009940 0.000000,-0.001361 0.009825 0.000000,-0.003214 0.008871 0.000000,-0.004518 0.007245 0.000000,-0.005045 0.005228 0.000000,-0.004704 0.003171 0.000000,-0.003554 0.001432 0.000000,-0.002605 0.000702 0.000000,
0.000100 -0.000000 0.000000,0.002198 -0.000072 0.000000,0.004289 -0.000270 0.000000,0.006364 -0.000593 0.000000,0.008415 -0.001039 0.000000,0.010436 -0.001608 0.000000,0.012420 -0.002297 0.000000,0.014358 -0.003103 0.000000,0.016245 -0.004025 0.000000,0.018073 -0.005058 0.000000,0.019836 -0.006198 0.000000,0.021527 -0.007442 0.000000,0.023141 -0.008786 0.000000,0.024671 -0.010224 0.000000,0.026112 -0.011751 0.000000,0.027459 -0.013361 0.000000,0.028707 -0.015050 0.000000,0.029852 -0.016810 0.000000,0.030889 -0.018636 0.000000,0.031815 -0.020521 0.000000,0.032625 -0.022457 0.000000,0.033319 -0.024439 0.000000,0.033892 -0.026459 0.000000,0.034343 -0.028510 0.000000,0.034670 -0.030584 0.000000,0.034873 -0.032674 0.000000,0.034949 -0.034772 0.000000,0.034900 -0.036871 0.000000,0.034725 -0.038964 0.000000,0.034569 -0.040153 0.000000,
0.000100 -0.000001 0.000000,0.002194 -0.000144 0.000000,0.004255 -0.000538 0.000000,0.006255 -0.001175 0.000000,0.008164 -0.002047 0.000000,0.009955 -0.003142 0.000000,0.011602 -0.004443 0.000000,0.013081 -0.005931 0.000000,0.014371 -0.007587 0.000000,0.015454 -0.009384 0.000000,0.016314 -0.011299 0.000000,0.016939 -0.013302 0.000000,0.017319 -0.015366 0.000000,0.017450 -0.017461 0.000000,0.017329 -0.019556 0.000000,0.016958 -0.021622 0.000000,0.016342 -0.023628 0.000000,0.015490 -0.025547 0.000000,0.014415 -0.027349 0.000000,0.013132 -0.029010 0.000000,0.011660 -0.030505 0.000000,0.010018 -0.031813 0.000000,0.008233 -0.032916 0.000000,0.006328 -0.033797 0.000000,0.004331 -0.034443 0.000000,0.002271 -0.034845 0.000000,0.000178 -0.034998 0.000000,-0.001919 -0.034900 0.000000,-0.003988 -0.034551 0.000000,-0.005147 -0.034241 0.000000,
0.000100 -0.000001 0.000000,0.002186 -0.000216 0.000000,0.004200 -0.000802 0.000000,0.006076 -0.001738 0.000000,0.007755 -0.002995 0.000000,0.009181 -0.004533 0.000000,0.010309 -0.006300 0.000000,0.011103 -0.008242 0.000000,0.011536 -0.010294 0.000000,0.011594 -0.012390 0.000000,0.011277 -0.014463 0.000000,0.010593 -0.016446 0.000000,0.009565 -0.018274 0.000000,0.008227 -0.019889 0.000000,0.006621 -0.021238 0.000000,0.004800 -0.022277 0.000000,0.002822 -0.022974 0.000000,0.000751 -0.023306 0.000000,-0.001345 -0.023261 0.000000,-0.003400 -0.022842 0.000000,-0.005347 -0.022062 0.000000,-0.007122 -0.020945 0.000000,-0.008669 -0.019529 0.000000,-0.009938 -0.017859 0.000000,-0.010886 -0.015989 0.000000,-0.011485 -0.013979 0.000000,-0.011714 -0.011894 0.000000,-0.011567 -0.009802 0.000000,-0.011047 -0.007771 0.000000,-0.010589 -0.006662 0.000000,
0.000100 -0.000001 0.000000,0.002175 -0.000288 0.000000,0.004123 -0.001059 0.000000,0.005832 -0.002271 0.000000,0.007203 -0.003855 0.000000,0.008159 -0.005720 0.000000,0.008644 -0.007758 0.000000,0.008630 -0.009853 0.000000,0.008119 -0.011884 0.000000,0.007140 -0.013736 0.000000,0.005749 -0.015303 0.000000,0.004025 -0.016493 0.000000,0.002068 -0.017240 0.000000,-0.000011 -0.017500 0.000000,-0.002092 -0.017258 0.000000,-0.004056 -0.016529 0.000000,-0.005790 -0.015354 0.000000,-0.007196 -0.013800 0.000000,-0.008191 -0.011957 0.000000,-0.008720 -0.009930 0.000000,-0.008752 -0.007835 0.000000,-0.008285 -0.005793 0.000000,-0.007346 -0.003920 0.000000,-0.005989 -0.002324 0.000000,-0.004291 -0.001097 0.000000,-0.002351 -0.000308 0.000000,-0.000278 -0.000003 0.000000,0.001808 -0.000199 0.000000,0.003787 -0.000886 0.000000,0.004826 -0.001484 0.000000,
0.000100 -0.000001 0.000000,0.002161 -0.000358 0.000000,0.004025 -0.001308 0.000000,0.005525 -0.002767 0.000000,0.006527 -0.004604 0.000000,0.006942 -0.006654 0.000000,0.006731 -0.008736 0.000000,0.005915 -0.010662 0.000000,0.004567 -0.012262 0.000000,0.002805 -0.013391 0.000000,0.000789 -0.013949 0.000000,-0.001302 -0.013887 0.000000,-0.003281 -0.013209 0.000000,-0.004972 -0.011977 0.000000,-0.006223 -0.010300 0.000000,-0.006923 -0.008329 0.000000,-0.007008 -0.006238 0.000000,-0.006473 -0.004216 0.000000,-0.005363 -0.002442 0.000000,-0.003779 -0.001076 0.000000,-0.001861 -0.000238 0.000000,0.000218 -0.000005 0.000000,0.002273 -0.000396 0.000000,0.004121 -0.001378 0.000000,0.005596 -0.002861 0.000000,0.006567 -0.004715 0.000000,0.006946 -0.006772 0.000000,0.006701 -0.008850 0.000000,0.005853 -0.010762 0.000000,0.005125 -0.011714 0.000000,
0.000100 -0.000002 0.000000,0.002145 -0.000428 0.000000,0.003908 -0.001548 0.000000,0.005164 -0.003217 0.000000,0.005751 -0.005221 0.000000,0.005595 -0.007304 0.000000,0.004715 -0.009198 0.000000,0.003224 -0.010661 0.000000,0.001313 -0.011505 0.000000,-0.000772 -0.011622 0.000000,-0.002765 -0.010996 0.000000,-0.004410 -0.009709 0.000000,-0.005496 -0.007925 0.000000,-0.005883 -0.005872 0.000000,-0.005523 -0.003815 0.000000,-0.004461 -0.002016 0.000000,-0.002834 -0.000707 0.000000,-0.000849 -0.000055 0.000000,0.001237 -0.000144 0.000000,0.003159 -0.000962 0.000000,0.004669 -0.002405 0.000000,0.005575 -0.004287 0.000000,0.005759 -0.006368 0.000000,0.005198 -0.008380 0.000000,0.003965 -0.010065 0.000000,0.002217 -0.011208 0.000000,0.000178 -0.011662 0.000000,-0.001890 -0.011369 0.000000,-0.003722 -0.010366 0.000000,-0.004571 -0.009520 0.000000,
0.000100 -0.000002 0.000000,0.002125 -0.000498 0.000000,0.003772 -0.001776 0.000000,0.004754 -0.003614 0.000000,0.004902 -0.005694 0.000000,0.004188 -0.007652 0.000000,0.002738 -0.009150 0.000000,0.000804 -0.009926 0.000000,-0.001279 -0.009846 0.000000,-0.003149 -0.008924 0.000000,-0.004480 -0.007319 0.000000,-0.005040 -0.005312 0.000000,-0.004734 -0.003250 0.000000,-0.003613 -0.001492 0.000000,-0.001873 -0.000344 0.000000,0.000184 -0.000005 0.000000,0.002200 -0.000535 0.000000,0.003825 -0.001840 0.000000,0.004777 -0.003695 0.000000,0.004889 -0.005777 0.000000,0.004143 -0.007723 0.000000,0.002668 -0.009196 0.000000,0.000721 -0.009940 0.000000,-0.001361 -0.009825 0.000000,-0.003214 -0.008871 0.000000,-0.004518 -0.007245 0.000000,-0.005045 -0.005228 0.000000,-0.004704 -0.003171 0.000000,-0.003554 -0.001432 0.000000,-0.002605 -0.000702 0.000000,
0.002583 0.000000 0.000000,0.056833 0.000000 0.000000,0.111083 0.000000 0.000000,0.165333 0.000000 0.000000,0.219583 0.000000 0.000000,0.273833 0.000000 0.000000,0.328083 0.000000 0.000000,0.382333 0.000000 0.000000,0.436583 0.000000 0.000000,0.490833 0.000000 0.000000,0.545083 0.000000 0.000000,0.599333 0.000000 0.000000,0.653583 0.000000 0.000000,0.707833 0.000000 0.000000,0.762083 0.000000 0.000000,0.816333 0.000000 0.000000,0.870583 0.000000 0.000000,0.924833 0.000000 0.000000,0.979083 0.000000 0.000000,1.033333 0.000000 0.000000,1.087583 0.000000 0.000000,1.141833 0.000000 0.000000,1.196083 0.000000 0.000000,1.250333 0.000000 0.000000,1.304583 0.000000 0.000000,1.358833 0.000000 0.000000,1.413083 0.000000 0.000000,1.467333 0.000000 0.000000,1.521583 0.000000 0.000000,1.552583 0.000000 0.000000,
0.002583 0.000007 0.000000,0.056793 0.001867 0.000000,0.110794 0.006973 0.000000,0.164392 0.015309 0.000000,0.217393 0.026843 0.000000,0.269607 0.041535 0.000000,0.320847 0.059332 0.000000,0.370927 0.080169 0.000000,0.419667 0.103971 0.000000,0.466892 0.130654 0.000000,0.512433 0.160120 0.000000,0.556124 0.192264 0.000000,0.597810 0.226969 0.000000,0.637339 0.264113 0.000000,0.674570 0.303559 0.000000,0.709369 0.345167 0.000000,0.741610 0.388787 0.000000,0.771177 0.434262 0.000000,0.797965 0.481428 0.000000,0.821875 0.530115 0.000000,0.842824 0.580149 0.000000,0.860734 0.631348 0.000000,0.875542 0.683530 0.000000,0.887195 0.736505 0.000000,0.895649 0.790084 0.000000,0.900876 0.844074 0.000000,0.902856 0.898279 0.000000,0.901582 0.952506 0.000000,0.897059 1.006559 0.000000,0.893021 1.037294 0.000000,
0.002583 0.000015 0.000000,0.056673 0.003730 0.000000,0.109930 0.013893 0.000000,0.161587 0.030359 0.000000,0.210901 0.052890 0.000000,0.257163 0.081163 0.000000,0.299708 0.114770 0.000000,0.337924 0.153229 0.000000,0.371260 0.195987 0.000000,0.399239 0.242427 0.000000,0.421457 0.291884 0.000000,0.437594 0.343644 0.000000,0.447420 0.396964 0.000000,0.450791 0.451076 0.000000,0.447660 0.505203 0.000000,0.438073 0.558566 0.000000,0.422166 0.610398 0.000000,0.400168 0.659952 0.000000,0.372396 0.706517 0.000000,0.339250 0.749422 0.000000,0.301206 0.788051 0.000000,0.258811 0.821848 0.000000,0.212675 0.850326 0.000000,0.163462 0.873076 0.000000,0.111879 0.889772 0.000000,0.058668 0.900172 0.000000,0.004595 0.904128 0.000000,-0.049563 0.901582 0.000000,-0.103026 0.892570 0.000000,-0.132968 0.884565 0.000000,
0.002583 0.000022 0.000000,0.056474 0.005585 0.000000,0.108498 0.020706 0.000000,0.156974 0.044896 0.000000,0.200337 0.077374 0.000000,0.237184 0.117091 0.000000,0.266326 0.162763 0.000000,0.286820 0.212914 0.000000,0.298004 0.265924 0.000000,0.299518 0.320080 0.000000,0.291311 0.373631 0.000000,0.273650 0.424849 0.000000,0.247105 0.472077 0.000000,0.212533 0.513789 0.000000,0.171052 0.548639 0.000000,0.124002 0.575499 0.000000,0.072904 0.593501 0.000000,0.019408 0.602065 0.000000,-0.034757 0.600913 0.000000,-0.087840 0.590083 0.000000,-0.138127 0.569924 0.000000,-0.183992 0.541088 0.000000,-0.223954 0.504506 0.000000,-0.256721 0.461362 0.000000,-0.281234 0.413048 0.000000,-0.296702 0.361126 0.000000,-0.302624 0.307273 0.000000,-0.298809 0.253231 0.000000,-0.285381 0.200744 0.000000,-0.273546 0.172107 0.000000,
0.002583 0.000030 0.000000,0.056195 0.007428 0.000000,0.106512 0.027359 0.000000,0.150649 0.058679 0.000000,0.186076 0.099592 0.000000,0.210762 0.147754 0.000000,0.223293 0.200404 0.000000,0.222949 0.254523 0.000000,0.209752 0.307009 0.000000,0.184456 0.354854 0.000000,0.148512 0.395315 0.000000,0.103981 0.426072 0.000000,0.053416 0.445362 0.000000,-0.000286 0.452080 0.000000,-0.054045 0.445840 0.000000,-0.104780 0.427001 0.000000,-0.149583 0.396641 0.000000,-0.185885 0.356502 0.000000,-0.211606 0.308884 0.000000,-0.225270 0.256518 0.000000,-0.226095 0.202404 0.000000,-0.214034 0.149645 0.000000,-0.189777 0.101265 0.000000,-0.154716 0.060038 0.000000,-0.110859 0.028326 0.000000,-0.060722 0.007949 0.000000,-0.007178 0.000073 0.000000,0.046704 0.005150 0.000000,0.097834 0.022890 0.000000,0.124676 0.038349 0.000000,
0.002583 0.000037 0.000000,0.055838 0.009257 0.000000,0.103990 0.033803 0.000000,0.142737 0.071482 0.000000,0.168619 0.118930 0.000000,0.179323 0.171906 0.000000,0.173893 0.225680 0.000000,0.152815 0.275448 0.000000,0.117970 0.316763 0.000000,0.072473 0.345936 0.000000,0.020386 0.360361 0.000000,-0.033637 0.358749 0.000000,-0.084771 0.341244 0.000000,-0.128448 0.309409 0.000000,-0.160766 0.266089 0.000000,-0.178839 0.215153 0.000000,-0.181053 0.161151 0.000000,-0.167208 0.108907 0.000000,-0.138543 0.063088 0.000000,-0.097618 0.027786 0.000000,-0.048088 0.006155 0.000000,0.005622 0.000128 0.000000,0.058715 0.010242 0.000000,0.106447 0.035594 0.000000,0.144555 0.073920 0.000000,0.169636 0.121795 0.000000,0.179447 0.174945 0.000000,0.173114 0.228619 0.000000,0.151202 0.278026 0.000000,0.132386 0.302615 0.000000,
0.002583 0.000044 0.000000,0.055403 0.011066 0.000000,0.100955 0.039989 0.000000,0.133398 0.083104 0.000000,0.148573 0.134884 0.000000,0.144535 0.188691 0.000000,0.121800 0.237626 0.000000,0.083285 0.275415 0.000000,0.033926 0.297214 0.000000,-0.019948 0.300228 0.000000,-0.071430 0.284070 0.000000,-0.113920 0.250812 0.000000,-0.141970 0.204717 0.000000,-0.151985 0.151697 0.000000,-0.142679 0.098547 0.000000,-0.115247 0.052082 0.000000,-0.073205 0.018260 0.000000,-0.021943 0.001416 0.000000,0.031967 0.003710 0.000000,0.081612 0.024848 0.000000,0.120629 0.062120 0.000000,0.144014 0.110747 0.000000,0.148771 0.164495 0.000000,0.134289 0.216473 0.000000,0.102424 0.260018 0.000000,0.057262 0.289546 0.000000,0.004594 0.301272 0.000000,-0.048830 0.293693 0.000000,-0.096158 0.267779 0.000000,-0.118075 0.245932 0.000000,
0.002583 0.000052 0.000000,0.054892 0.012853 0.000000,0.097436 0.045871 0.000000,0.122818 0.093367 0.000000,0.126628 0.147085 0.000000,0.108202 0.197688 0.000000,0.070744 0.236379 0.000000,0.020764 0.256434 0.000000,-0.033049 0.254366 0.000000,-0.081342 0.230535 0.000000,-0.115721 0.189083 0.000000,-0.130209 0.137216 0.000000,-0.122289 0.083948 0.000000,-0.093336 0.038540 0.000000,-0.048384 0.008884 0.000000,0.004753 0.000135 0.000000,0.056840 0.013814 0.000000,0.098822 0.047543 0.000000,0.123403 0.095459 0.000000,0.126308 0.149233 0.000000,0.107034 0.199519 0.000000,0.068931 0.237575 0.000000,0.018621 0.256787 0.000000,-0.035150 0.253815 0.000000,-0.083036 0.229175 0.000000,-0.116712 0.187151 0.000000,-0.130326 0.135047 0.000000,-0.121511 0.081920 0.000000,-0.091800 0.037005 0.000000,-0.067299 0.018133 0.000000,
0.002583 -0.000007 0.000000,0.056793 -0.001867 0.000000,0.110794 -0.006973 0.000000,0.164392 -0.015309 0.000000,0.217393 -0.026843 0.000000,0.269607 -0.041535 0.000000,0.320847 -0.059332 0.000000,0.370927 -0.080169 0.000000,0.419667 -0.103971 0.000000,0.466892 -0.130654 0.000000,0.512433 -0.160120 0.000000,0.556124 -0.192264 0.000000,0.597810 -0.226969 0.000000,0.637339 -0.264113 0.000000,0.674570 -0.303559 0.000000,0.709369 -0.345167 0.000000,0.741610 -0.388787 0.000000,0.771177 -0.434262 0.000000,0.797965 -0.481428 0.000000,0.821875 -0.530115 0.000000,0.842824 -0.580149 0.000000,0.860734 -0.631348 0.000000,0.875542 -0.683530 0.000000,0.887195 -0.736505 0.000000,0.895649 -0.790084 0.000000,0.900876 -0.844074 0.000000,0.902856 -0.898279 0.000000,0.901582 -0.952506 0.000000,0.897059 -1.006559 0.000000,0.893021 -1.037294 0.000000,
0.002583 -0.000015 0.000000,0.056673 -0.003730 0.000000,0.109930 -0.013893 0.000000,0.161587 -0.030359 0.000000,0.210901 -0.052890 0.000000,0.257163 -0.081163 0.000000,0.299708 -0.114770 0.000000,0.337924 -0.153229 0.000000,0.371260 -0.195987 0.000000,0.399239 -0.242427 0.000000,0.421457 -0.291884 0.000000,0.437594 -0.343644 0.000000,0.447420 -0.396964 0.000000,0.450791 -0.451076 0.000000,0.447660 -0.505203 0.000000,0.438073 -0.558566 0.000000,0.422166 -0.610398 0.000000,0.400168 -0.659952 0.000000,0.372396 -0.706517 0.000000,0.339250 -0.749422 0.000000,0.301206 -0.788051 0.000000,0.258811 -0.821848 0.000000,0.212675 -0.850326 0.000000,0.163462 -0.873076 0.000000,0.111879 -0.889772 0.000000,0.058668 -0.900172 0.000000,0.004595 -0.904128 0.000000,-0.049563 -0.901582 0.000000,-0.103026 -0.892570 0.000000,-0.132968 -0.884565 0.000000,
0.002583 -0.000022 0.000000,0.056474 -0.005585 0.000000,0.108498 -0.020706 0.000000,0.156974 -0.044896 0.000000,0.200337 -0.077374 0.000000,0.237184 -0.117091 0.000000,0.266326 -0.162763 0.000000,0.286820 -0.212914 0.000000,0.298004 -0.265924 0.000000,0.299518 -0.320080 0.000000,0.291311 -0.373631 0.000000,0.273650 -0.424849 0.000000,0.247105 -0.472077 0.000000,0.212533 -0.513789 0.000000,0.171052 -0.548639 0.000000,0.124002 -0.575499 0.000000,0.072904 -0.593501 0.000000,0.019408 -0.602065 0.000000,-0.034757 -0.600913 0.000000,-0.087840 -0.590083 0.000000,-0.138127 -0.569924 0.000000,-0.183992 -0.541088 0.000000,-0.223954 -0.504506 0.000000,-0.256721 -0.461362 0.000000,-0.281234 -0.413048 0.000000,-0.296702 -0.361126 0.000000,-0.302624 -0.307273 0.000000,-0.298809 -0.253231 0.000000,-0.285381 -0.200744 0.000000,-0.273546 -0.172107 0.000000,
